,time,price,hash,provider,value,delta
0,0.0,50,af9495c6d5dff14eb92e518c922b6e7a,/tmp/provider_50656_1545752989.9036028_log.csv,50,0
0,0.0,50,c3997c04d81bc339a6a6404e1b258ab8,/tmp/provider_50647_1545752989.786484_log.csv,50,0
0,6.0,49,c3997c04d81bc339a6a6404e1b258ab8,/tmp/provider_50582_1545752988.280998_log.csv,50,1
0,6.0,50,af9495c6d5dff14eb92e518c922b6e7a,/tmp/provider_50675_1545752990.450146_log.csv,50,0
0,10.0,48,eda6d62b5d40330af277b8cfb29f51f3,/tmp/provider_50620_1545752989.352591_log.csv,49,1
1,16.0,49,eda6d62b5d40330af277b8cfb29f51f3,/tmp/provider_50647_1545752989.786484_log.csv,49,0
1,22.0,47,ecffefe49f812e938f68eac945d8dc91,/tmp/provider_50656_1545752989.9036028_log.csv,48,1
1,27.0,46,ecffefe49f812e938f68eac945d8dc91,/tmp/provider_50582_1545752988.280998_log.csv,48,2
1,27.0,46,a39e7368b66dd98625a487b2aa8155ab,/tmp/provider_50675_1545752990.450146_log.csv,46,0
1,32.0,46,fbad4b121280f0db64c9e688b5089764,/tmp/provider_50620_1545752989.352591_log.csv,46,0
2,38.0,46,a39e7368b66dd98625a487b2aa8155ab,/tmp/provider_50647_1545752989.786484_log.csv,46,0
2,42.0,46,fbad4b121280f0db64c9e688b5089764,/tmp/provider_50582_1545752988.280998_log.csv,46,0
2,43.0,46,a39e7368b66dd98625a487b2aa8155ab,/tmp/provider_50656_1545752989.9036028_log.csv,46,0
2,48.0,45,48b1af504f0f62036cd3efeb21d88fc6,/tmp/provider_50675_1545752990.450146_log.csv,45,0
2,53.0,45,48b1af504f0f62036cd3efeb21d88fc6,/tmp/provider_50620_1545752989.352591_log.csv,45,0
3,58.0,44,67ffbf5bf7b26ca29c776baaa8fe7bf8,/tmp/provider_50647_1545752989.786484_log.csv,44,0
3,59.0,44,745cd73de3f7a895a47c39ffae4b19d0,/tmp/provider_50656_1545752989.9036028_log.csv,44,0
3,63.0,44,67ffbf5bf7b26ca29c776baaa8fe7bf8,/tmp/provider_50582_1545752988.280998_log.csv,44,0
3,69.0,43,745cd73de3f7a895a47c39ffae4b19d0,/tmp/provider_50675_1545752990.450146_log.csv,44,1
3,73.0,43,b2e1fdb67027c8cf9a46f0690a8c852e,/tmp/provider_50620_1545752989.352591_log.csv,43,0
4,75.0,43,1b9b192ee76cb5ca778c6b6a3364ef24,/tmp/provider_50656_1545752989.9036028_log.csv,43,0
4,80.0,43,7bba6597794789b9d2093a4b2d93c47f,/tmp/provider_50647_1545752989.786484_log.csv,43,0
4,84.0,43,1b9b192ee76cb5ca778c6b6a3364ef24,/tmp/provider_50582_1545752988.280998_log.csv,43,0
4,89.0,43,7bba6597794789b9d2093a4b2d93c47f,/tmp/provider_50675_1545752990.450146_log.csv,43,0
4,91.0,43,b2e1fdb67027c8cf9a46f0690a8c852e,/tmp/provider_50620_1545752989.352591_log.csv,43,0
5,95.0,42,6cd3b7ae3e334eaecf7f355e320775a6,/tmp/provider_50656_1545752989.9036028_log.csv,42,0
5,100.0,42,f9f00bc8e0271911e5d59e2270948f92,/tmp/provider_50647_1545752989.786484_log.csv,42,0
5,105.0,42,6cd3b7ae3e334eaecf7f355e320775a6,/tmp/provider_50582_1545752988.280998_log.csv,42,0
5,108.0,42,f9f00bc8e0271911e5d59e2270948f92,/tmp/provider_50675_1545752990.450146_log.csv,42,0
5,111.0,41,6f6be12de9e8676978547ee43673b84e,/tmp/provider_50620_1545752989.352591_log.csv,41,0
6,115.0,41,ebb2f1be05aa4802b3327346d8ebe2a2,/tmp/provider_50656_1545752989.9036028_log.csv,41,0
6,121.0,41,ebb2f1be05aa4802b3327346d8ebe2a2,/tmp/provider_50647_1545752989.786484_log.csv,41,0
6,124.0,41,e73f44a8e83f67a9380aa52597478fdd,/tmp/provider_50582_1545752988.280998_log.csv,41,0
6,129.0,41,31af864d7cf639a356c178a9f5ae8316,/tmp/provider_50675_1545752990.450146_log.csv,41,0
6,134.0,41,6f6be12de9e8676978547ee43673b84e,/tmp/provider_50620_1545752989.352591_log.csv,41,0
7,136.0,41,31af864d7cf639a356c178a9f5ae8316,/tmp/provider_50656_1545752989.9036028_log.csv,41,0
7,139.0,41,e73f44a8e83f67a9380aa52597478fdd,/tmp/provider_50647_1545752989.786484_log.csv,41,0
7,144.0,40,f11a04cfd24f7cf21a46bece16bf3f5f,/tmp/provider_50582_1545752988.280998_log.csv,41,1
7,149.0,41,f11a04cfd24f7cf21a46bece16bf3f5f,/tmp/provider_50675_1545752990.450146_log.csv,41,0
7,153.0,40,c5c4175afa11c84c8239ace4df5b70c0,/tmp/provider_50620_1545752989.352591_log.csv,40,0
8,158.0,40,123114b338edd110ed58081261c7b8dc,/tmp/provider_50656_1545752989.9036028_log.csv,40,0
8,160.0,40,c5c4175afa11c84c8239ace4df5b70c0,/tmp/provider_50647_1545752989.786484_log.csv,40,0
8,165.0,40,48e0923eb892c10285d42662247f1212,/tmp/provider_50582_1545752988.280998_log.csv,40,0
8,170.0,40,48e0923eb892c10285d42662247f1212,/tmp/provider_50675_1545752990.450146_log.csv,40,0
8,173.0,39,123114b338edd110ed58081261c7b8dc,/tmp/provider_50620_1545752989.352591_log.csv,40,1
9,177.0,38,52a5344a915686247d17e973450a540e,/tmp/provider_50656_1545752989.9036028_log.csv,39,1
9,182.0,39,52a5344a915686247d17e973450a540e,/tmp/provider_50647_1545752989.786484_log.csv,39,0
9,185.0,38,4f218b25639d567f833837b8cd562e33,/tmp/provider_50582_1545752988.280998_log.csv,38,0
9,188.0,38,d16f2347d7d7ecccdb54f6e37513a9a0,/tmp/provider_50675_1545752990.450146_log.csv,38,0
9,193.0,38,4f218b25639d567f833837b8cd562e33,/tmp/provider_50620_1545752989.352591_log.csv,38,0
10,197.0,38,d16f2347d7d7ecccdb54f6e37513a9a0,/tmp/provider_50656_1545752989.9036028_log.csv,38,0
10,201.0,37,6ba33d4c927fbc52f7ba370d34af36eb,/tmp/provider_50647_1545752989.786484_log.csv,38,1
10,206.0,38,6ba33d4c927fbc52f7ba370d34af36eb,/tmp/provider_50582_1545752988.280998_log.csv,38,0
10,209.0,37,ca2e568654b2f73cd49c128288b33171,/tmp/provider_50675_1545752990.450146_log.csv,37,0
10,214.0,37,ca2e568654b2f73cd49c128288b33171,/tmp/provider_50620_1545752989.352591_log.csv,37,0
11,216.0,36,df5bf6283fabaf157d951dd63008c84e,/tmp/provider_50656_1545752989.9036028_log.csv,36,0
11,221.0,36,df5bf6283fabaf157d951dd63008c84e,/tmp/provider_50647_1545752989.786484_log.csv,36,0
11,224.0,36,2bff7227cf277114a661916967785416,/tmp/provider_50582_1545752988.280998_log.csv,36,0
11,229.0,36,2bff7227cf277114a661916967785416,/tmp/provider_50675_1545752990.450146_log.csv,36,0
11,232.0,35,cddbf5d48dd4ca48a05d633a33b301a3,/tmp/provider_50620_1545752989.352591_log.csv,35,0
12,237.0,35,cddbf5d48dd4ca48a05d633a33b301a3,/tmp/provider_50656_1545752989.9036028_log.csv,35,0
12,239.0,34,72b836028684f83a434625b23f82ab8b,/tmp/provider_50647_1545752989.786484_log.csv,35,1
12,245.0,35,72b836028684f83a434625b23f82ab8b,/tmp/provider_50582_1545752988.280998_log.csv,35,0
12,247.0,34,1e6552c974c23f04feb64acd59658700,/tmp/provider_50675_1545752990.450146_log.csv,34,0
12,252.0,34,1e6552c974c23f04feb64acd59658700,/tmp/provider_50620_1545752989.352591_log.csv,34,0
13,255.0,33,71e0d164b82c08d068816c40ac32ccad,/tmp/provider_50656_1545752989.9036028_log.csv,33,0
13,258.0,33,9dcfcdf1ef5d2cc6706ccfb283164fbf,/tmp/provider_50647_1545752989.786484_log.csv,33,0
13,263.0,33,fbf278a7cf056852340edfa60d572585,/tmp/provider_50582_1545752988.280998_log.csv,33,0
13,268.0,33,9dcfcdf1ef5d2cc6706ccfb283164fbf,/tmp/provider_50675_1545752990.450146_log.csv,33,0
13,270.0,33,fbf278a7cf056852340edfa60d572585,/tmp/provider_50620_1545752989.352591_log.csv,33,0
14,273.0,32,71e0d164b82c08d068816c40ac32ccad,/tmp/provider_50656_1545752989.9036028_log.csv,33,1
14,278.0,31,d6bae81225e39f53fafc2f7ff0dcaa72,/tmp/provider_50647_1545752989.786484_log.csv,31,0
14,283.0,31,d6bae81225e39f53fafc2f7ff0dcaa72,/tmp/provider_50582_1545752988.280998_log.csv,31,0
14,286.0,30,b22993f206c700262bbcf08de4219078,/tmp/provider_50675_1545752990.450146_log.csv,30,0
14,291.0,30,8f029ad364f79f4003ce12df2bb1a783,/tmp/provider_50620_1545752989.352591_log.csv,30,0
15,292.0,30,b22993f206c700262bbcf08de4219078,/tmp/provider_50656_1545752989.9036028_log.csv,30,0
15,296.0,30,0e9091ba791279b049ab71f865fde4ae,/tmp/provider_50647_1545752989.786484_log.csv,30,0
15,301.0,30,8f029ad364f79f4003ce12df2bb1a783,/tmp/provider_50582_1545752988.280998_log.csv,30,0
15,304.0,30,0e9091ba791279b049ab71f865fde4ae,/tmp/provider_50675_1545752990.450146_log.csv,30,0
15,308.0,29,728e2caf2c70ef1bbd6e5109b6cb9d87,/tmp/provider_50620_1545752989.352591_log.csv,29,0
16,313.0,29,728e2caf2c70ef1bbd6e5109b6cb9d87,/tmp/provider_50656_1545752989.9036028_log.csv,29,0
16,314.0,28,50ace017864a83ba4a1efa16853ce690,/tmp/provider_50647_1545752989.786484_log.csv,28,0
16,319.0,28,a7e39b5356fb9cdce4d35c3de3e3ee61,/tmp/provider_50582_1545752988.280998_log.csv,28,0
16,322.0,28,50ace017864a83ba4a1efa16853ce690,/tmp/provider_50675_1545752990.450146_log.csv,28,0
16,326.0,28,0fe272716ecf1bcfb4e07ebfe2e627dc,/tmp/provider_50620_1545752989.352591_log.csv,28,0
17,331.0,28,0fe272716ecf1bcfb4e07ebfe2e627dc,/tmp/provider_50656_1545752989.9036028_log.csv,28,0
17,332.0,28,a7e39b5356fb9cdce4d35c3de3e3ee61,/tmp/provider_50647_1545752989.786484_log.csv,28,0
17,337.0,27,1f66ebf50a70ac4035fd34c40acd2d8f,/tmp/provider_50582_1545752988.280998_log.csv,27,0
17,342.0,27,1f66ebf50a70ac4035fd34c40acd2d8f,/tmp/provider_50675_1545752990.450146_log.csv,27,0
17,344.0,26,757f96ea5b24ac0e84444242325ddc58,/tmp/provider_50620_1545752989.352591_log.csv,26,0
18,349.0,26,757f96ea5b24ac0e84444242325ddc58,/tmp/provider_50656_1545752989.9036028_log.csv,26,0
18,349.0,25,83e4261473facb8476f3c5ac5c360586,/tmp/provider_50647_1545752989.786484_log.csv,26,1
18,354.0,25,83e4261473facb8476f3c5ac5c360586,/tmp/provider_50582_1545752988.280998_log.csv,26,1
18,359.0,25,07034d31b80643becb4d441f25437200,/tmp/provider_50675_1545752990.450146_log.csv,25,0
18,364.0,25,07034d31b80643becb4d441f25437200,/tmp/provider_50620_1545752989.352591_log.csv,25,0
19,365.0,24,e5aa09e848d41fb6ae738556361735d0,/tmp/provider_50656_1545752989.9036028_log.csv,24,0
19,366.0,24,c594873ca089e556663b4f681fd967e1,/tmp/provider_50647_1545752989.786484_log.csv,24,0
19,371.0,24,c594873ca089e556663b4f681fd967e1,/tmp/provider_50582_1545752988.280998_log.csv,24,0
19,376.0,23,e5aa09e848d41fb6ae738556361735d0,/tmp/provider_50675_1545752990.450146_log.csv,24,1
19,380.0,23,99c7231bf67782957edc8dda24e51c74,/tmp/provider_50620_1545752989.352591_log.csv,23,0
20,381.0,22,4dc9adf0a75997d0665845f4f893c6f7,/tmp/provider_50656_1545752989.9036028_log.csv,23,1
20,385.0,23,99c7231bf67782957edc8dda24e51c74,/tmp/provider_50647_1545752989.786484_log.csv,23,0
20,388.0,22,4dc9adf0a75997d0665845f4f893c6f7,/tmp/provider_50582_1545752988.280998_log.csv,23,1
20,392.0,22,0751dff0868eec5240af7a10ffe416d9,/tmp/provider_50675_1545752990.450146_log.csv,22,0
20,396.0,22,34cacae10e1db9fe9cf2c476ae73238d,/tmp/provider_50620_1545752989.352591_log.csv,22,0
21,398.0,22,0751dff0868eec5240af7a10ffe416d9,/tmp/provider_50656_1545752989.9036028_log.csv,22,0
21,402.0,22,f2b08ed2240c41cdf3785210bdb2f91f,/tmp/provider_50647_1545752989.786484_log.csv,22,0
21,405.0,22,7b16f0709cddd88cc3cee7d417a4466c,/tmp/provider_50582_1545752988.280998_log.csv,22,0
21,409.0,22,34cacae10e1db9fe9cf2c476ae73238d,/tmp/provider_50675_1545752990.450146_log.csv,22,0
21,413.0,22,7b16f0709cddd88cc3cee7d417a4466c,/tmp/provider_50620_1545752989.352591_log.csv,22,0
22,415.0,22,f2b08ed2240c41cdf3785210bdb2f91f,/tmp/provider_50656_1545752989.9036028_log.csv,22,0
22,418.0,21,3f94b5ea6d31f7d3c4cc6e6f406f8ed1,/tmp/provider_50647_1545752989.786484_log.csv,21,0
22,422.0,21,b88fad1fca7d7a7a8e3f0ee327feef9b,/tmp/provider_50582_1545752988.280998_log.csv,21,0
22,427.0,21,b88fad1fca7d7a7a8e3f0ee327feef9b,/tmp/provider_50675_1545752990.450146_log.csv,21,0
22,429.0,20,3f94b5ea6d31f7d3c4cc6e6f406f8ed1,/tmp/provider_50620_1545752989.352591_log.csv,21,1
23,431.0,20,c50c05e1fcc92fbd458d15819e508b4e,/tmp/provider_50656_1545752989.9036028_log.csv,20,0
23,436.0,20,c50c05e1fcc92fbd458d15819e508b4e,/tmp/provider_50647_1545752989.786484_log.csv,20,0
23,438.0,19,17937393cb80398c4056232b0eb55ad7,/tmp/provider_50582_1545752988.280998_log.csv,19,0
23,443.0,19,17937393cb80398c4056232b0eb55ad7,/tmp/provider_50675_1545752990.450146_log.csv,19,0
23,445.0,19,7a7b924bfee40b49eb901c6cd3f80831,/tmp/provider_50620_1545752989.352591_log.csv,19,0
24,450.0,19,7a7b924bfee40b49eb901c6cd3f80831,/tmp/provider_50656_1545752989.9036028_log.csv,19,0
24,452.0,18,fd6cd69a43a39f50a467b78206d4a042,/tmp/provider_50647_1545752989.786484_log.csv,19,1
24,457.0,18,fd6cd69a43a39f50a467b78206d4a042,/tmp/provider_50582_1545752988.280998_log.csv,19,1
24,458.0,17,8848ad2278fdd57b1bc327446949b403,/tmp/provider_50675_1545752990.450146_log.csv,17,0
24,461.0,17,1ca3aa1c5027040f60771749452fdf84,/tmp/provider_50620_1545752989.352591_log.csv,17,0
25,466.0,17,8848ad2278fdd57b1bc327446949b403,/tmp/provider_50656_1545752989.9036028_log.csv,17,0
25,468.0,17,1ca3aa1c5027040f60771749452fdf84,/tmp/provider_50647_1545752989.786484_log.csv,17,0
25,472.0,16,8b4266aace9f7e393ce49da82c286ead,/tmp/provider_50582_1545752988.280998_log.csv,17,1
25,474.0,16,f712b5bf8ed6169a275a3e7adec5b981,/tmp/provider_50675_1545752990.450146_log.csv,16,0
25,477.0,17,8b4266aace9f7e393ce49da82c286ead,/tmp/provider_50620_1545752989.352591_log.csv,17,0
26,481.0,16,f712b5bf8ed6169a275a3e7adec5b981,/tmp/provider_50656_1545752989.9036028_log.csv,16,0
26,484.0,16,593aafae272ab218f4ce848606fe87a1,/tmp/provider_50647_1545752989.786484_log.csv,16,0
26,488.0,16,714cee6c19fbb5303c911c95cb5f95f6,/tmp/provider_50582_1545752988.280998_log.csv,16,0
26,490.0,16,f0dd455e6fadbd44f3c48597944f9101,/tmp/provider_50675_1545752990.450146_log.csv,16,0
26,493.0,16,593aafae272ab218f4ce848606fe87a1,/tmp/provider_50620_1545752989.352591_log.csv,16,0
27,497.0,16,714cee6c19fbb5303c911c95cb5f95f6,/tmp/provider_50656_1545752989.9036028_log.csv,16,0
27,500.0,15,f0dd455e6fadbd44f3c48597944f9101,/tmp/provider_50647_1545752989.786484_log.csv,16,1
27,503.0,15,ea4d69aa502d3f9375ef0af272efe3c0,/tmp/provider_50582_1545752988.280998_log.csv,15,0
27,505.0,15,fd90f382c81ebe8b5c97e25c703c51c4,/tmp/provider_50675_1545752990.450146_log.csv,15,0
27,509.0,15,ea4d69aa502d3f9375ef0af272efe3c0,/tmp/provider_50620_1545752989.352591_log.csv,15,0
28,512.0,15,9c3f4845f091b6637b6ad936a723c37f,/tmp/provider_50656_1545752989.9036028_log.csv,15,0
28,515.0,15,ea2986ba25c62549e484cfd0bd96523c,/tmp/provider_50647_1545752989.786484_log.csv,15,0
28,519.0,15,fd90f382c81ebe8b5c97e25c703c51c4,/tmp/provider_50582_1545752988.280998_log.csv,15,0
28,521.0,15,9c3f4845f091b6637b6ad936a723c37f,/tmp/provider_50675_1545752990.450146_log.csv,15,0
28,524.0,14,ea2986ba25c62549e484cfd0bd96523c,/tmp/provider_50620_1545752989.352591_log.csv,15,1
29,528.0,14,861a8f1ff53578b850ba28335ffe45c4,/tmp/provider_50656_1545752989.9036028_log.csv,14,0
29,533.0,14,861a8f1ff53578b850ba28335ffe45c4,/tmp/provider_50647_1545752989.786484_log.csv,14,0
29,534.0,13,914ee0074ba55d28f79dea59afedf503,/tmp/provider_50582_1545752988.280998_log.csv,13,0
29,536.0,13,2ccfc15eb33ba4f4da9706b0955ce7bd,/tmp/provider_50675_1545752990.450146_log.csv,13,0
29,540.0,13,914ee0074ba55d28f79dea59afedf503,/tmp/provider_50620_1545752989.352591_log.csv,13,0
30,543.0,13,1102e1c54f11f4195032a6932726cb58,/tmp/provider_50656_1545752989.9036028_log.csv,13,0
30,548.0,13,1102e1c54f11f4195032a6932726cb58,/tmp/provider_50647_1545752989.786484_log.csv,13,0
30,550.0,11,2ccfc15eb33ba4f4da9706b0955ce7bd,/tmp/provider_50582_1545752988.280998_log.csv,13,2
30,552.0,11,77f6dc81cc519db82ad2cdc5371477fa,/tmp/provider_50675_1545752990.450146_log.csv,11,0
30,555.0,11,3db4e8a7e3e1c6aa50cd4f5c70bead30,/tmp/provider_50620_1545752989.352591_log.csv,11,0
31,558.0,11,1a22481a51ad52f06b9717096ef1cf8a,/tmp/provider_50656_1545752989.9036028_log.csv,11,0
31,563.0,11,3db4e8a7e3e1c6aa50cd4f5c70bead30,/tmp/provider_50647_1545752989.786484_log.csv,11,0
31,565.0,11,1a22481a51ad52f06b9717096ef1cf8a,/tmp/provider_50582_1545752988.280998_log.csv,11,0
31,567.0,10,77f6dc81cc519db82ad2cdc5371477fa,/tmp/provider_50675_1545752990.450146_log.csv,11,1
31,570.0,10,0c9f46c89d86d963ee18010e412271c4,/tmp/provider_50620_1545752989.352591_log.csv,10,0
32,575.0,10,0c9f46c89d86d963ee18010e412271c4,/tmp/provider_50656_1545752989.9036028_log.csv,10,0
32,579.0,8,a606dd6de5ac52dd033a0067a9e42a01,/tmp/provider_50647_1545752989.786484_log.csv,9,1
32,582.0,8,451a6d6b3304c30712c84a1e73032459,/tmp/provider_50675_1545752990.450146_log.csv,8,0
32,584.0,9,a606dd6de5ac52dd033a0067a9e42a01,/tmp/provider_50582_1545752988.280998_log.csv,9,0
32,587.0,8,451a6d6b3304c30712c84a1e73032459,/tmp/provider_50620_1545752989.352591_log.csv,8,0
33,590.0,8,c39758aae535627e8582899d25e0468b,/tmp/provider_50656_1545752989.9036028_log.csv,8,0
33,595.0,8,c39758aae535627e8582899d25e0468b,/tmp/provider_50647_1545752989.786484_log.csv,8,0
33,597.0,7,ce17cecc99b5c00c28e8b34e03ce361e,/tmp/provider_50675_1545752990.450146_log.csv,7,0
33,599.0,6,e8c8f018c64e3e00bc65cbe36945f82f,/tmp/provider_50582_1545752988.280998_log.csv,6,0
33,602.0,7,ce17cecc99b5c00c28e8b34e03ce361e,/tmp/provider_50620_1545752989.352591_log.csv,7,0
34,605.0,6,2aa6c2fc87313dde7475919c3404b6a0,/tmp/provider_50656_1545752989.9036028_log.csv,6,0
34,610.0,6,e8c8f018c64e3e00bc65cbe36945f82f,/tmp/provider_50647_1545752989.786484_log.csv,6,0
34,612.0,6,2aa6c2fc87313dde7475919c3404b6a0,/tmp/provider_50675_1545752990.450146_log.csv,6,0
34,614.0,5,1f33ee4e88bb9a2b5d1adc75de5a8d95,/tmp/provider_50582_1545752988.280998_log.csv,5,0
34,617.0,5,e2b06203e3643beb8c9b8a27a6c5ee46,/tmp/provider_50620_1545752989.352591_log.csv,5,0
35,621.0,5,70a9ef6b9d84b2421016b228ca655c30,/tmp/provider_50656_1545752989.9036028_log.csv,5,0
35,625.0,5,1f33ee4e88bb9a2b5d1adc75de5a8d95,/tmp/provider_50647_1545752989.786484_log.csv,5,0
35,627.0,5,e2b06203e3643beb8c9b8a27a6c5ee46,/tmp/provider_50675_1545752990.450146_log.csv,5,0
35,629.0,3,70a9ef6b9d84b2421016b228ca655c30,/tmp/provider_50582_1545752988.280998_log.csv,5,2
35,632.0,3,5a82756a2242422bab92287689f5fb76,/tmp/provider_50620_1545752989.352591_log.csv,3,0
36,636.0,3,8067051ab479de7f06452fad684785ec,/tmp/provider_50656_1545752989.9036028_log.csv,3,0
